OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
Accountants and Auditors,"Accountants and auditors analyze and interpret accounting records to give advice, prepare financial statements or audit and evaluate statements prepared by others. They are expected to advise on systems of recording costs or other financial and budgetary data.",Business and Financial Operations,1085150,62850,15.7,Bachelor's degree,None,None
Actuaries,Actuaries analyze the statistical data and financial cost of risk and uncertainty. They construct probability tables that help businesses assess forecast risk and liability for payment of future benefits. They also ascertain insurance and cash reserves for businesses.,Computer and Mathematical Occupations,19590,91060,26.7,Bachelor's degree,None,Long-term on-the-job training
"Administrative Law Judges, Adjudicators, and Hearing Officers","Workers in this profession conduct hearings and trials, make decisions on government-related claims, determine liability, and recommend settlement outcomes. They also issue subpoenas, prepare written decisions for the court, and keep up-to-date with new laws.",Legal,14460,85190,-0.1,Bachelor's degree,1 to 5 years,Moderate-term on-the-job training
Administrative Services Managers,"Managers in this field plan, direct, or coordinate various administrative services in an organization. They may oversee budgets, manage office supplies, set department goals or deadlines, analyze internal processes, and supervise other office support services.",Management,249600,79540,14.5,High school diploma or equivalent,1 to 5 years,None
Adult Education and Literacy Teachers/ Instructors,"Instructors in this field teach various out-of-school courses to youth and adults. They may teach remedial education classes or preparatory courses for the General Educational Development test, literacy, or English as a Second Language. ","Education, Training, and Library",67770,47370,14.6,Bachelor's degree,None,Internship/residency
Advertising and Promotions Managers,"Advertising and promotions managers produce and develop ideas for promotions, contests, and giveaways to create buzz around a particular product, organization, or client account. They organize the campaign, prepare and negotiate contracts, and determine budget.",Management,30710,87650,13.3,Bachelor's degree,1 to 5 years,None
Advertising Sales Agents,"Advertising sales agents work with markets in TV, radio, outdoor advertising, and the Internet to sell and advertise in their space. They contact clients to offer advertising services, and inform customers of their advertisement options with samples for approval.",Merr,144760,45250,13,High school diploma or equivalent,None,Moderate-term on-the-job training
Aerospace Engineers,"Through physics, aerospace engineers design aircraft, spacecraft, satellites, and missiles. They evaluate prototypes to determine functionality and develop criteria for quality standards. Typically, they are specialized in aeronautical or astronautical engineering.",Architecture and Engineering,79400,102420,4.9,Bachelor's degree,None,None
"Agents/Business Managers for Artists, Performers & Athletes","Agents and managers develop contracts with individuals and work to ensure their clients' success. They manage business and financial affairs for clients and help develop strategies for their careers, while collecting fees or commissions according to contract terms.",Business and Financial Operations,11950,64790,14,Bachelor's degree,1 to 5 years,None
Agricultural Inspectors,"These inspectors examine food products, processing procedures, and cleanliness to determine food safety in accordance to government laws and regulations. They create reports on their findings and issue recommendations on any corrective actions that may need to occur.","Farming, Fishing, and Forestry",13780,41390,1.5,Bachelor's degree,None,Moderate-term on-the-job training
"Agricultural Sciences Teachers, Postsecondary","Teachers in this field educate students about agricultural science through lectures, assignments, and discussions. Courses may include agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, and agricultural soil conservation.","Education, Training, and Library",10170,79900,17.4,Doctoral or professional degree,None,None
Air Traffic Controllers,"Air traffic controllers direct aircraft in flight patterns to minimize delays and prevent accidents. They direct pilots during arrival and departure, and stay aware of dangerous conditions such as weather or other safety issues and inform pilots accordingly.",Transportation and Material Moving,23580,113540,-2.9,Associate's degree,None,Long-term on-the-job training
Aircraft Mechanics and Service Technicians,"Aircraft mechanics and service technicians typically diagnose, adjust, and repair hydraulic and pneumatic systems. This work can also be completed by helicopter and aircraft engine specialists.","Installation, Maintenance, and Repair",117320,54590,6.3,Postsecondary non-degree award,None,None
"Aircraft Structure, Surfaces, and Systems Assemblers","Workers in this field assemble, install, and connect parts, fittings, and assemblies on aircraft using a variety of tools and procedures. They adjust, repair, or replace parts to eliminate malfunctions and ensure proper operation.",Production,36570,46210,14.3,High school diploma or equivalent,None,Moderate-term on-the-job training
"Airline Pilots, Copilots, and Flight Engineers","Workers in this field pilot and navigate flights for fixed wing and multi-engine aircrafts for air carrier routes and transporting cargo and passengers. Additionally, a Federal Air Transport Pilot certificate and rating is needed for each aircraft flown.",Transportation and Material Moving,68350,105580,6.4,Bachelor's degree,1 to 5 years,Moderate-term on-the-job training
Anesthesiologists,"Anesthesiologists record the type and amount of anesthetics they administer to patients prior to, during, or after surgery or other medical procedures. They monitor patients before, during, and after anesthesia and counteract adverse reactions or complications.",Healthcare Practitioners and Technical Occupations,33310,234950,24.4,Doctoral or professional degree,None,Internship/residency
Appraisers and Assessors of Real Estate,Appraisers and assessors of real estate assess property to estimate its fair and true value. They also may assess taxes and determine taxability and value of properties. Both appraisers and assessors must maintain accurate records of their inspections.,Business and Financial Operations,60930,48870,7.4,High school diploma or equivalent,None,Apprenticeship
"Architects, Except Landscape and Naval Architects","Architects plan and design structures as small as tool sheds or private residences, to structures as large as a factories or skyscraping office buildings. They consult with clients to determine functional and spatial requirements of structures and then draw blueprints.",Architecture and Engineering,83590,73340,24.5,Bachelor's degree,None,Internship/residency
Architectural and Civil Drafters,"Architectural drafters create computer system or hand-drawn plans for buildings and structures based on the architect's specifications. A civil drafter provides the same, but for highways, bridges, pipelines, and underground control systems.",Architecture and Engineering,85740,47250,3.2,Associate's degree,None,None
Architectural and Engineering Managers,"Architectural and engineering managers direct, review, and approve project and design work and activities, as well as research and develop new ideas and proposals for clients. They also prepare budgets, bids, and contracts.",Management,184530,122190,8.6,Bachelor's degree,More than 5 years,None
Art Directors,"Art directors create and develop design concepts and ideas for visual media including print, broadcasting, and advertising. Other duties include presentation of final layouts to clients, coordination of creative projects, and confirmation and review of budgets.","Arts, Design, Entertainment, Sports, and Media",30680,81260,9,Bachelor's degree,1 to 5 years,None
"Art, Drama, and Music Teachers, Postsecondary","Teachers in this field of study educate students on drama, music, fine art, and applied art. Subjects may include acting techniques, fundamentals of music, or art history. They demonstrate artistic techniques, supervise student work, and prepare students for performances.","Education, Training, and Library",90030,62330,17.4,Doctoral or professional degree,None,None
Athletic Trainers,"Rushing onto the field to help injured athletes is only part of the job for athletic trainers. They specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Athletic trainers are there to help children and adults with physical ailments.",Healthcare Practitioners and Technical Occupations,18240,42400,30,Bachelor's degree,None,None
"Atmospheric, Earth, Marine, and Space Sciences Teachers ","Teachers in this field administer courses in the physical sciences, except chemistry and physics. Subjects may include geology, atmospheric science, oceanic science, astronomy, and earth science. They must supervise field work, deliver lectures, and conduct research.","Education, Training, and Library",10660,83140,17.4,Doctoral or professional degree,None,None
Audio and Video Equipment Technicians,"These technicians install, adjust, and operate audio and video equipment such as microphones, sound speakers, video screens, projectors, video monitors, recording equipment, and lighting systems. They are also part of the editing and design layout process.","Arts, Design, Entertainment, Sports, and Media",49180,41630,13.4,Postsecondary non-degree award,None,Moderate-term on-the-job training
Audiologists,"Audiologists assess, treat, counsel, and otherwise help people with hearing and balance disorders. They use advanced technology to fit hearing aids, provide auditory training, and may perform research related to hearing problems and diseases.   ",Healthcare Practitioners and Technical Occupations,12490,68390,36.8,Doctoral or professional degree,None,None
Avionics Technicians,"Avionics technicians work with aircraft and space vehicles to install, inspect, test, adjust, and repair avionics equipment such as radar, navigation, radio, and mission control systems. They also interpret flight test data to determine malfunctions.","Installation, Maintenance, and Repair",17070,54720,6.9,Postsecondary non-degree award,None,None
Biochemists and Biophysicists,"Biochemists and biophysicists study the chemical and physical principles of living things. In a laboratory, they conduct research to further the understanding of complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. ","Life, Physical, and Social Science",25160,79230,30.8,Doctoral or professional degree,None,None
"Biological Science Teachers, Postsecondary","Biology teachers instruct courses in biological science. They may be expected to develop and deliver lectures or lessons related to molecular biology, marine biology and botany. They supervise classwork, maintain student records and prepare course materials.","Education, Training, and Library",50090,74110,17.4,Doctoral or professional degree,None,None
"Biological Scientists, All Other","Occupations in this field include bioinformatics scientists, molecular and cellular biologists, and geneticists.","Life, Physical, and Social Science",31550,70790,6.3,Doctoral or professional degree,None,None
Biomedical Engineers,"Using engineering, biology, and biomechanical principles, biomedical engineers develop, design, and evaluate health systems and products. They work with artificial organs, prostheses, instrumentation, medical information, and care delivery systems.",Architecture and Engineering,16590,84670,61.7,Bachelor's degree,None,None
Boilermakers,"Boilermakers are trained craftsmen who maintain, assemble, and install large vessels that hold hot liquids and gases. They work on diverse projects ranging from bridges to blast furnaces, to the construction of mining equipment and hot water boilers used for heating.",Construction and Extraction,18850,56910,21.3,High school diploma or equivalent,None,Apprenticeship
Brickmasons and Blockmasons,"Brickmasons and blockmasons use bricks, natural stones, structural tile, glass blocks, and concrete blocks to build, repair, and maintain a variety of structures. They work both indoors and outdoors and use a variety of power and hand tools to help complete the job.",Construction and Extraction,62560,46800,40.5,High school diploma or equivalent,None,Apprenticeship
Brokerage Clerks,"Brokerage clerks perform duties related to the purchase, sale, and holding of important documents. Duties include writing orders for stock purchases and sales, receipts, transmittal papers, computing transfer taxes, and verifying stock transactions and holdings.",Office and Administrative Support,60720,41760,5.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Budget Analysts,"Budget analysts examine budgets for accuracy and completeness in addition to adhering to procedures and regulations. They gather and analyze accounting records, budgets, and other data to determine operation needs and alternative finance methods.",Business and Financial Operations,57110,69090,10.4,Bachelor's degree,None,None
Bus and Truck Mechanics and Diesel Engine Specialists,"Workers in this field maintain and repair buses and trucks, as well as different types of diesel engines. They inspect, repair, and maintain all automotive and mechanical parts or equipment.","Installation, Maintenance, and Repair",222940,41640,14.5,High school diploma or equivalent,None,Long-term on-the-job training
Business Operations Specialists and All Other*,"Occupations in this field include energy auditors, security management specialists, customs brokers, business continuity planners, sustainability specialists, and online merchants.",Business and Financial Operations,967250,64030,11.6,High school diploma or equivalent,Less than 1 year,Long-term on-the-job training
